Invest_Date,Stock_Codes,Weights
2020-09-01,A033540,0.08071469408937247
2020-09-01,A040300,0.08071469105663792
2020-09-01,A053350,0.08071406781313609
2020-09-01,A043340,0.08071321921988606
2020-09-01,A010660,0.08071262426982401
2020-09-01,A004090,0.08071074566973278
2020-09-01,A006570,0.08070984768255915
2020-09-01,A048430,0.07925958629182682
2020-09-01,A083420,0.07779586009819463
2020-09-01,A198440,0.06097429284034895
2020-09-01,A001070,0.04439495150315665
2020-09-01,A026940,0.03534220311850499
2020-09-01,A067570,0.03003780576732634
2020-09-01,A005860,0.028392182366331984
2020-09-01,A046390,0.020070105338276207
2020-09-01,A012860,0.0130899300763488
2020-09-01,A000650,0.012342748394611067
2020-09-01,A002880,0.011232826014738139
2020-09-01,A066900,0.011058283575449475
2020-09-01,A011090,0.011019334813737616
